i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
i need a flight from kansas city to chicago next wednesday that reaches chicago around 7 in the evening	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time O O B-arrive_time.period_of_day
show me one way flights from milwaukee to orlando wednesday	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
i'd like to see flights from baltimore to atlanta that arrive before noon and i'd like to see flights from denver to atlanta that arrive before noon	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time
what flights leave after 7 pm from boston to pittsburgh	O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name
i would like to book a flight on continental airlines from chicago to seattle on june first	O O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
of the flights available from dallas to baltimore on august third which airline has the least expensive flight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O O O B-cost_relative I-cost_relative O
show me the flights from boston to baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name
list for me only the united flights between denver and oakland	O O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
what flights go from boston to dallas	O O O O B-fromloc.city_name O B-toloc.city_name
does delta airlines fly from pittsburgh to atlanta	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
are there any flights next monday morning from pittsburgh to san francisco	O O O O B-depart_date.date_relative B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i want a flight from atlanta to washington that leaves after 3 pm	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
i would like an afternoon flight leaving tuesday san diego to indianapolis	O O O O B-depart_time.period_of_day O O B-depart_date.day_name B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
please give me information on a flight on april seventeen from philadelphia to boston as early as possible	O O O O O O O O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name O B-flight_mod O O
list the earliest flights from st. paul to houston	O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
i need to go from philadelphia to dallas	O O O O O B-fromloc.city_name O B-toloc.city_name
i would like a flight from nashville to st. louis that arrives in st. louis around 6 pm and is nonstop	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-flight_stop
list all the arriving flights at general mitchell international	O O O B-flight_mod O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name
okay i'm sorry could you tell me what flights leave atlanta and arrive in philadelphia around 5 o'clock	O O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
may i see all the flights from cleveland to dallas	O O O O O O O B-fromloc.city_name O B-toloc.city_name
do you have a flight from atlanta to boston	O O O O O O B-fromloc.city_name O B-toloc.city_name
show me the flights from denver to westchester county	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
is there a thursday night flight from pittsburgh to san francisco on us air	O O O B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
show me flights going from san francisco to pittsburgh first class on monday of leaving after 12 noon	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-class_type I-class_type O B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
afternoon flight from denver to san francisco	B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what are the flights from atlanta to boston in the afternoon	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day
on tuesday i'd like to find a flight from detroit to st. petersburg that arrives before 10 pm	O B-depart_date.day_name O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
all flights from charlotte to anywhere on us air	O O O B-fromloc.city_name O O O B-airline_name I-airline_name
what flights are provided by american airlines	O O O O O B-airline_name I-airline_name
show me the flights from philadelphia to dallas	O O O O O B-fromloc.city_name O B-toloc.city_name
okay does twa have a flight from dallas to san francisco	O O B-airline_code O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
now list for me only the united flights that flight from oakland to boston	O O O O O O B-airline_name O O O O B-fromloc.city_name O B-toloc.city_name
show me all flights from pittsburgh to atlanta which leave after 5 o'clock pm tomorrow	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time B-depart_date.today_relative
i'd like a flight from washington that stops in denver and goes on to san francisco	O O O O O B-fromloc.city_name O O O B-stoploc.city_name O O O O B-toloc.city_name I-toloc.city_name
i'd like a list of all the flights from san francisco to pittsburgh on sunday please	O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O
show me flights on wednesday morning boston to denver for united airlines first class	O O O O B-depart_date.day_name B-depart_time.period_of_day B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name B-class_type I-class_type
how do i get from pittsburgh airport to downtown pittsburgh	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
what nonstop flights between boston and washington arrive after 5 o'clock pm	O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time
which delta flights depart from san francisco heading toward boston after 12 noon	O B-airline_name O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
american flights from cincinnati to houston	B-airline_name O O B-fromloc.city_name O B-toloc.city_name
dallas to oakland monday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
what flights are there from milwaukee to phoenix on saturday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
i need a flight from pittsburgh to los angeles thursday evening	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day
give me flights that arrive in baltimore from atlanta	O O O O O O B-toloc.city_name O B-fromloc.city_name
what're the flights from memphis to las vegas that arrive on a sunday	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name
i would like an early morning flight on june first from chicago into seattle on continental airlines	O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
what's the earliest flight from dallas to houston	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
list the american airlines flights from dallas to san francisco	O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i need an early flight from denver to san francisco please and i would like breakfast served on that	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-meal_description O O O
i would like to fly from pittsburgh to atlanta on us air	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
i want to leave boston at 838	O O O O B-fromloc.city_name O B-depart_time.time
what flights leave seattle on sunday on continental after 9 pm	O O O B-fromloc.city_name O B-depart_date.day_name O B-airline_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
show flights from dallas to san francisco	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i need to know if there are any direct flights from st. petersburg florida to tacoma washington leaving preferably tomorrow morning	O O O O O O O O B-connect O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O O B-depart_date.today_relative B-depart_time.period_of_day
show me the cheapest flights round trip from new york to san jose arriving in san jose before 7 pm	O O O B-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
show me the flights arriving at love field from all other airports	O O O O O O B-toloc.airport_name I-toloc.airport_name O O O O
before 10 o'clock on tuesday is there a 747 that flies from baltimore to san francisco	B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name O O O B-aircraft_code O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the cheapest flight from atlanta to pittsburgh one way	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
please show me flights from dallas to denver	O O O O O B-fromloc.city_name O B-toloc.city_name
does northwest fly into denver	O B-airline_name O O B-toloc.city_name
i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning	O O O O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
i'd like to book a flight from atlanta to denver	O O O O O O O B-fromloc.city_name O B-toloc.city_name
what flights are there from los angeles to pittsburgh	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
list all flights from denver to philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name
find travel arrangements for a round trip flight from dallas to pittsburgh	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
is there a delta flight from boston to denver	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
what flights from new york to los angeles	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
which flights go from philadelphia to san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'd like to book a flight from san diego to toronto	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what flights are there from pittsburgh to dallas on wednesday morning	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
list the flights from philadelphia to dallas on american airlines	O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
list the flights from dallas to baltimore	O O O O B-fromloc.city_name O B-toloc.city_name
show me the afternoon flights from washington to boston	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
which flights arrive in st. louis from st. paul on thursday morning	O O O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name I-fromloc.city_name O B-arrive_date.day_name B-arrive_time.period_of_day
show me the cheapest flights from dallas to baltimore	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
please show me all the flights from boston	O O O O O O O B-fromloc.city_name
what flights from atlanta to washington	O O O B-fromloc.city_name O B-toloc.city_name
give me the flights from miami to new york using tower air	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
what flights from houston to milwaukee on friday on american airlines	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-airline_name I-airline_name
show me all the flights from baltimore to columbus	O O O O O O B-fromloc.city_name O B-toloc.city_name
give me flights from atlanta to baltimore	O O O O B-fromloc.city_name O B-toloc.city_name
what flights leave from phoenix to anywhere	O O O O B-fromloc.city_name O O
show me all the flights on delta airlines and twa that go to atlanta in the morning	O O O O O O B-airline_name I-airline_name O B-airline_code O O O B-toloc.city_name O O B-depart_time.period_of_day
what are the flights from boston to baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name
i want a flight from san francisco to denver leaving san francisco in the afternoon arriving denver around 5 in the afternoon	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name I-fromloc.city_name O O B-depart_time.period_of_day O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time O O B-arrive_time.period_of_day
what is the latest flight from milwaukee to seattle tomorrow	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative
show the flights from pittsburgh to san francisco again on monday	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.day_name
pittsburgh to atlanta wednesday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
i want to fly from boston to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what flights from miami to indianapolis on sunday	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
all flights from boston to washington dc on november tenth	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.month_name B-depart_date.day_number
i need to go from boston to atlanta in the same day find me the earliest flight from boston	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O O O O B-flight_mod O O B-fromloc.city_name
boston to pittsburgh	B-fromloc.city_name O B-toloc.city_name
what are the flights from san francisco to denver	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
i'd like to see all the one way flights from denver to pittsburgh	O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
what's the earliest flight from san francisco to boston	O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me the continental flights leaving chicago early saturday morning	O O O B-airline_name O O B-fromloc.city_name B-depart_time.period_mod B-depart_date.day_name B-depart_time.period_of_day
list the flights on friday afternoon from philadelphia to oakland	O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
show me all us air flights from atlanta to denver for the day after tomorrow	O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative
show me all the flights from denver to las vegas	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
list all the flights that depart from general mitchell international	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name
how can i get from the denver airport to downtown	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O
on tuesday i'd like to fly from detroit to st. petersburg	O B-depart_date.day_name O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show afternoon flights from houston to dallas	O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
i'd like to see the flights from atlanta to washington dc	O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
boston to pittsburgh wednesday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
i need a flight from denver to washington dc on wednesday	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name
american flight 4400 from cincinnati to houston	B-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name
like information on flights from san francisco to boston on thursday morning	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
last nonstop flight from los angeles to pittsburgh on monday night	B-flight_mod B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_name B-arrive_time.period_of_day
list the flights from st. petersburg to toronto	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
please list am flights leaving san francisco boston	O O B-depart_time.period_of_day O O B-fromloc.city_name I-fromloc.city_name B-fromloc.city_name
show me the flights from baltimore to oakland	O O O O O B-fromloc.city_name O B-toloc.city_name
i would like to know the latest flight on wednesday you have leaving from oakland to salt lake city which offers a meal	O O O O O O B-flight_mod O O B-depart_date.day_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O B-meal
show me flights from pittsburgh to philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name
list flights from pittsburgh to baltimore on thursday morning nonstop	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-flight_stop
are there any flights from boston to san francisco stopping in denver	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name
show me all flights from indianapolis	O O O O O B-fromloc.city_name
what flight do you have from dallas to denver on august twenty seventh in the morning	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day
show me a list of flights from san francisco to boston for august thirtieth	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
list all takeoffs and landings at general mitchell international	O O O O O O B-airport_name I-airport_name I-airport_name
what are all flights from pittsburgh to boston on wednesdays	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
does delta airline fly from denver to pittsburgh	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
show all flights with first class from baltimore to dallas	O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name
my destination is san francisco i live in denver i would like a flight on august thirtieth in the morning on any airline that will get me there	O O O B-toloc.city_name I-toloc.city_name O O O B-fromloc.city_name O O O O O O B-depart_date.month_name B-depart_date.day_number O O B-depart_time.period_of_day O O O O O O O O
i would like to travel from boston to denver early in the morning	O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day
what is the cheapest flight from denver to oakland	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
all flights from san francisco to los angeles	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the earliest flight leaving denver going to boston	O O O B-flight_mod O O B-fromloc.city_name O O B-toloc.city_name
find the flights that leave philadelphia and arrive in dallas by noon	O O O O O B-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time
i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
list all flights on united from san francisco to boston	O O O O B-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what's the cheapest one way flight from oakland to boston	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
i would like to fly from denver to pittsburgh on the cheapest flight possible	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative O O
are there any nonstop flights from indianapolis to san diego on wednesday may twelfth	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number
i would like a twa flight from atlanta to san francisco with a stopover in denver	O O O O B-airline_code O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
from las vegas to new york a nonstop twa and fare	O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop B-airline_code O O
i need a flight from philadelphia to denver	O O O O O B-fromloc.city_name O B-toloc.city_name
flights from kansas city to cleveland and price	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O
what is the earliest flight on friday from washington to san francisco	O O O B-flight_mod O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
please list the flights from ontario california to orlando florida	O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name
list daily flights from boston to oakland using united airlines	O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
show me all flights from baltimore or denver or pittsburgh that fly to philadelphia	O O O O O B-fromloc.city_name B-or B-fromloc.city_name B-or B-fromloc.city_name O O O B-toloc.city_name
i would like to fly from pittsburgh to atlanta	O O O O O O B-fromloc.city_name O B-toloc.city_name
list all flights on united from san francisco to boston with fare code qx	O O O O B-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-fare_basis_code
show me flights from san francisco to denver on weekdays	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-flight_mod
does continental fly from denver to pittsburgh	O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday	O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name
show me all flights from san francisco to pittsburgh on friday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what flights leave denver before noon on northwest airlines	O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time O B-airline_name I-airline_name
show me all flights from san francisco to boston on november tenth	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
show me all flights from san diego to new york using dc10	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-aircraft_code
show me the flights on twa from atlanta in the morning	O O O O O B-airline_code O B-fromloc.city_name O O B-depart_time.period_of_day
show me all flights from charlotte to philadelphia	O O O O O B-fromloc.city_name O B-toloc.city_name
do you have a flight from charlotte to atlanta on june first	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
newark to cleveland	B-fromloc.city_name O B-toloc.city_name
show me the flights from san francisco to boston	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
what are the flights from boston to denver on tuesday october fifteenth	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number
i'd like flight information from dallas fort worth to boston on tuesday	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
flights from newark to tampa on friday on us air	O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-airline_name I-airline_name
show me the flights from dallas to atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name
is there a flight from atlanta to san francisco on november seventh at noon	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O B-depart_time.time
please show me united nonstop flights between boston and san francisco departing around 5 in the evening	O O O B-airline_name B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time O O B-arrive_time.period_of_day
i need information on flights leaving philadelphia on friday arriving in oakland california	O O O O O O B-fromloc.city_name O B-depart_date.day_name O O B-toloc.city_name B-toloc.state_name
what flights from montreal to las vegas on saturday	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
please show me flights available from pittsburgh to atlanta on a weekday	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod
show me the earliest flight on wednesday from baltimore to newark	O O O B-flight_mod O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name
what is the cheapest coach flight between dallas and baltimore leaving august tenth	O O O B-cost_relative B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
i need a flight from new york to montreal thursday may six arriving before noon	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O B-arrive_time.time_relative B-arrive_time.time
how about flights leaving san francisco and arriving in boston for any day	O O O O B-fromloc.city_name I-fromloc.city_name O O O B-toloc.city_name O O O
cheapest flight from miami to indianapolis	B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
give me the flights from boston to san francisco leaving early today	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.period_mod B-depart_date.today_relative
show all flights from miami to jfk	O O O O B-fromloc.city_name O B-toloc.airport_code
i want to fly from dallas to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'd like to see flights from baltimore to atlanta	O O O O O O B-fromloc.city_name O B-toloc.city_name
i would like to arrange a flight from denver to pittsburgh	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
show me a list of flights from boston to dc arriving before 9 am on july twenty second	O O O O O O O B-fromloc.city_name O B-toloc.state_code O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number
oakland to philadelphia saturday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
show me all the saturday flights from pittsburgh to baltimore	O O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name
list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number B-or O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
show me all the flights to baltimore after 6 o'clock pm	O O O O O O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time
one way flights from ontario to tacoma leaving before 10 am on any day and first class	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O O B-class_type I-class_type
need a flight from pittsburgh to denver	O O O O B-fromloc.city_name O B-toloc.city_name
what flight goes from denver to baltimore first class on united airlines arriving on may seventh	O O O O B-fromloc.city_name O B-toloc.city_name B-class_type I-class_type O B-airline_name I-airline_name O O B-arrive_date.month_name B-arrive_date.day_number
do you have a flight from salt lake city to st. petersburg on june second	O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
i would like to book a flight from chicago to seattle on june first	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
all flights to baltimore after 12 pm	O O O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
what do you have tomorrow after 5 o'clock from atlanta to san francisco	O O O O B-depart_date.today_relative B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i would like direct coach flights from pittsburgh to atlanta	O O O B-connect B-class_type O O B-fromloc.city_name O B-toloc.city_name
what flights does delta have from denver to dallas after 5	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time
show me flights from philadelphia to baltimore	O O O O B-fromloc.city_name O B-toloc.city_name
what flights do you have available from denver dallas and pittsburgh into baltimore	O O O O O O O B-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name O B-toloc.city_name
are there any flights from denver to atlanta which connect in pittsburgh	O O O O O B-fromloc.city_name O B-toloc.city_name O B-connect O B-stoploc.city_name
i want to fly denver to pittsburgh	O O O O B-fromloc.city_name O B-toloc.city_name
please list all flights between boston and philadelphia operating on sundays	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
show me all the northwest flights from new york to milwaukee that leave at 720 am	O O O O B-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_time.time I-depart_time.time
what flights from any city land at general mitchell international	O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name
please give me a flight leaving boston going to washington arriving in washington at 5 o'clock in the afternoon	O O O O O O B-fromloc.city_name O O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day
show me all flights on us airlines from boston to oakland california which leave after 11 o'clock am	O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time
show me all flights from san francisco to washington dc	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code
show me the flights from toronto to cincinnati	O O O O O B-fromloc.city_name O B-toloc.city_name
flights from memphis to seattle	O O B-fromloc.city_name O B-toloc.city_name
